raw,canonical,method,score,at
Theorem,Theorem,passthrough,61.5,2026-08-27T12:16:30Z
Liftigniter,Liftigniter,passthrough,54.5,2026-08-27T12:16:30Z
Rickshaw,Rickshaw,passthrough,55.6,2026-08-27T12:16:30Z
Shoobs,Shoobs,passthrough,43.5,2026-08-27T12:16:30Z
Shopagram,Shopagram,passthrough,50.0,2026-08-27T12:16:30Z
Unicornly,Unicornly,passthrough,52.6,2026-08-27T12:16:30Z
Wit.ai,Wit.ai,passthrough,71.4,2026-08-27T12:16:30Z
Zinc,Zinc,passthrough,50.0,2026-08-27T12:16:30Z
Gobble,Gobble,passthrough,54.5,2026-08-27T12:16:30Z
Unbabel,Unbabel,passthrough,53.3,2026-08-27T12:16:30Z
MixerBox,MixerBox,passthrough,44.4,2026-08-27T12:16:30Z
OpenCurriculum,OpenCurriculum,passthrough,58.3,2026-08-27T12:16:30Z
Dyspatch,Dyspatch,passthrough,52.6,2026-08-27T12:16:30Z
Whirlscape,Whirlscape,passthrough,55.6,2026-08-27T12:16:30Z
SpringWit,SpringWit,passthrough,45.5,2026-08-27T12:16:30Z
Checkr,Checkr,passthrough,66.7,2026-08-27T12:16:30Z
PersistIQ,PersistIQ,passthrough,54.5,2026-08-27T12:16:30Z
Flytenow,Flytenow,passthrough,47.1,2026-08-27T12:16:30Z
GovPredict,GovPredict,passthrough,52.6,2026-08-27T12:16:30Z
VizeraLabs,VizeraLabs,passthrough,60.0,2026-08-27T12:16:30Z
MTailor,MTailor,passthrough,57.1,2026-08-27T12:16:30Z
Naytev,Naytev,passthrough,54.5,2026-08-27T12:16:30Z
Neptune.io,Neptune.io,passthrough,66.7,2026-08-27T12:16:30Z
PicnicAI,PicnicAI,passthrough,57.1,2026-08-27T12:16:30Z
UserGems,UserGems,passthrough,50.0,2026-08-27T12:16:30Z
ShipBob,ShipBob,passthrough,42.1,2026-08-27T12:16:30Z
SalesSift,SalesSift,passthrough,62.5,2026-08-27T12:16:30Z
Hive,Hive,passthrough,60.0,2026-08-27T12:16:30Z
Tule,Tule,passthrough,44.4,2026-08-27T12:16:30Z
Weave,Weave,passthrough,80.0,2026-08-27T12:16:30Z
Whirl,Whirl,passthrough,50.0,2026-08-27T12:16:30Z
Qventus,Qventus,passthrough,47.1,2026-08-27T12:16:30Z
Pomello,Pomello,passthrough,44.4,2026-08-27T12:16:30Z
20n,20n,passthrough,28.6,2026-08-27T12:16:30Z
Akido Labs,Akido Labs,passthrough,73.7,2026-08-27T12:16:30Z
Magic,Magic,passthrough,50.0,2026-08-27T12:16:30Z
Bizzy,Bizzy,passthrough,42.9,2026-08-27T12:16:30Z
Numerion Labs,Numerion Labs,passthrough,63.6,2026-08-27T12:16:30Z
Zeitview,Zeitview,passthrough,50.0,2026-08-27T12:16:30Z
GiveMeTap,GiveMeTap,passthrough,42.9,2026-08-27T12:16:30Z
GrubMarket,GrubMarket,passthrough,50.0,2026-08-27T12:16:30Z
Platzi,Platzi,passthrough,53.3,2026-08-27T12:16:30Z
