raw,canonical,method,score,at
VOIQ,VOIQ,passthrough,50.0,2026-08-27T12:51:33Z
Deepgram,Deepgram,passthrough,62.5,2026-08-27T12:51:33Z
iSono Health,iSono Health,passthrough,52.6,2026-08-27T12:51:33Z
Tovala,Tovala,passthrough,54.5,2026-08-27T12:51:33Z
Daily,Daily,passthrough,60.0,2026-08-27T12:51:33Z
Algoriz,Algoriz,passthrough,42.9,2026-08-27T12:51:33Z
Focal Systems,Focal Systems,passthrough,70.0,2026-08-27T12:51:33Z
Able Health,Able Health,passthrough,66.7,2026-08-27T12:51:33Z
Gigwell,Gigwell,passthrough,46.2,2026-08-27T12:51:33Z
Pulpix,Pulpix,passthrough,40.0,2026-08-27T12:51:33Z
Revl,Revl,passthrough,50.0,2026-08-27T12:51:33Z
MailTime,MailTime,passthrough,53.3,2026-08-27T12:51:33Z
Netomi,Netomi,passthrough,53.3,2026-08-27T12:51:33Z
Superside,Superside,passthrough,55.6,2026-08-27T12:51:33Z
Function of Beauty,Function of Beauty,passthrough,51.6,2026-08-27T12:51:33Z
Podium,Podium,passthrough,76.9,2026-08-27T12:51:33Z
Gecko Robotics,Gecko Robotics,passthrough,43.8,2026-08-27T12:51:33Z
GoLorry,GoLorry,passthrough,40.0,2026-08-27T12:51:33Z
HistoWiz,HistoWiz,passthrough,47.1,2026-08-27T12:51:33Z
Caper,Caper,passthrough,72.7,2026-08-27T12:51:33Z
Georgette Packaging,Georgette Packaging,passthrough,46.7,2026-08-27T12:51:33Z
Kisan Network,Kisan Network,passthrough,46.2,2026-08-27T12:51:33Z
Pathmind,Pathmind,passthrough,62.5,2026-08-27T12:51:33Z
Unnyhog,Unnyhog,passthrough,54.5,2026-08-27T12:51:33Z
Sendbird,Sendbird,passthrough,46.2,2026-08-27T12:51:33Z
Relativity Space,Relativity Space,passthrough,50.0,2026-08-27T12:51:33Z
Boom,Boom,passthrough,50.0,2026-08-27T12:51:33Z
Nova,Nova,passthrough,61.5,2026-08-27T12:51:33Z
Modal,Modal,exact,100.0,2026-08-27T12:51:33Z
flexEngage,flexEngage,passthrough,50.0,2026-08-27T12:51:33Z
Qvin,Qvin,passthrough,46.2,2026-08-27T12:51:33Z
Mindori,Mindori,passthrough,58.8,2026-08-27T12:51:33Z
Vetcove,Vetcove,passthrough,53.3,2026-08-27T12:51:33Z
Selfycart,Selfycart,passthrough,55.6,2026-08-27T12:51:33Z
Joy,Joy,passthrough,46.2,2026-08-27T12:51:33Z
Upgraded,Upgraded,passthrough,46.2,2026-08-27T12:51:33Z
Rose Rocket,Rose Rocket,passthrough,47.1,2026-08-27T12:51:33Z
Farmstead,Farmstead,passthrough,52.6,2026-08-27T12:51:33Z
Sway Finance,Sway Finance,passthrough,50.0,2026-08-27T12:51:33Z
Iris Automation,Iris Automation,passthrough,51.6,2026-08-27T12:51:33Z
OneChronos,OneChronos,passthrough,57.1,2026-08-27T12:51:33Z
Haywheel,Haywheel,passthrough,58.8,2026-08-27T12:51:33Z
The Flex Company,The Flex Company,passthrough,50.0,2026-08-27T12:51:33Z
garten,garten,passthrough,54.5,2026-08-27T12:51:33Z
Mosaix.ai,Mosaix.ai,passthrough,63.2,2026-08-27T12:51:33Z
Burrow,Burrow,passthrough,50.0,2026-08-27T12:51:33Z
NeoWize,NeoWize,passthrough,53.3,2026-08-27T12:51:33Z
Airo Health,Airo Health,passthrough,55.6,2026-08-27T12:51:33Z
Synvivia,Synvivia,passthrough,58.8,2026-08-27T12:51:33Z
Meesho,Meesho,passthrough,42.9,2026-08-27T12:51:33Z
Seerslab,Seerslab,passthrough,55.6,2026-08-27T12:51:33Z
Miso,Miso,passthrough,54.5,2026-08-27T12:51:33Z
Athelas,Athelas,passthrough,50.0,2026-08-27T12:51:33Z
Curtsy,Curtsy,passthrough,66.7,2026-08-27T12:51:33Z
CrowdAI,CrowdAI,passthrough,61.5,2026-08-27T12:51:33Z
Saleswhale,Saleswhale,passthrough,60.0,2026-08-27T12:51:33Z
Polymail,Polymail,passthrough,57.1,2026-08-27T12:51:33Z
Scale AI,Scale AI,exact,100.0,2026-08-27T12:51:33Z
People.ai,People.ai,passthrough,72.7,2026-08-27T12:51:33Z
Elemeno Health,Elemeno Health,passthrough,56.0,2026-08-27T12:51:33Z
ClassDojo,ClassDojo,passthrough,42.1,2026-08-27T12:51:33Z
SkyLights,SkyLights,passthrough,48.0,2026-08-27T12:51:33Z
Voiceops,Voiceops,passthrough,53.3,2026-08-27T12:51:33Z
Trade,Trade,passthrough,60.0,2026-08-27T12:51:33Z
Speak,Speak,passthrough,57.1,2026-08-27T12:51:33Z
Bountiful,Bountiful,passthrough,40.0,2026-08-27T12:51:33Z
Cowlar,Cowlar,passthrough,53.3,2026-08-27T12:51:33Z
Scribe,Scribe,passthrough,54.5,2026-08-27T12:51:33Z
Riley,Riley,passthrough,54.5,2026-08-27T12:51:33Z
Pit.AI,Pit.AI,passthrough,63.2,2026-08-27T12:51:33Z
Shipamax,Shipamax,passthrough,47.1,2026-08-27T12:51:33Z
MDalgorithms Inc.,MDalgorithms Inc.,passthrough,57.1,2026-08-27T12:51:33Z
Tress,Tress,passthrough,46.2,2026-08-27T12:51:33Z
Entry,Entry,passthrough,46.2,2026-08-27T12:51:33Z
RankScience,RankScience,passthrough,55.6,2026-08-27T12:51:33Z
Ambient.ai,Ambient.ai,passthrough,66.7,2026-08-27T12:51:33Z
Penny,Penny,passthrough,54.5,2026-08-27T12:51:33Z
Firsthand,Firsthand,passthrough,50.0,2026-08-27T12:51:33Z
"Veryfi, Inc.","Veryfi, Inc.",passthrough,53.3,2026-08-27T12:51:33Z
Wright Electric,Wright Electric,passthrough,45.2,2026-08-27T12:51:33Z
AlemHealth,AlemHealth,passthrough,70.0,2026-08-27T12:51:33Z
Supr Daily,Supr Daily,passthrough,63.2,2026-08-27T12:51:33Z
Bulk MRO Industrial Supply,Bulk MRO Industrial Supply,passthrough,38.9,2026-08-27T12:51:33Z
Tetra,Tetra,passthrough,62.5,2026-08-27T12:51:33Z
FloydHub,FloydHub,passthrough,40.0,2026-08-27T12:51:33Z
Bulletin,Bulletin,passthrough,55.6,2026-08-27T12:51:33Z
BIOS Health,BIOS Health,passthrough,47.6,2026-08-27T12:51:33Z
NanoNets,NanoNets,passthrough,53.3,2026-08-27T12:51:33Z
Bicycle AI,Bicycle AI,passthrough,66.7,2026-08-27T12:51:33Z
UpKeep,UpKeep,passthrough,42.9,2026-08-27T12:51:33Z
SourceBeacon,SourceBeacon,passthrough,66.7,2026-08-27T12:51:33Z
Faire,Faire,passthrough,72.7,2026-08-27T12:51:33Z
Ridecell,Ridecell,passthrough,52.6,2026-08-27T12:51:33Z
Mirror AI,Mirror AI,passthrough,66.7,2026-08-27T12:51:33Z
Helix Nanotechnologies,Helix Nanotechnologies,passthrough,76.9,2026-08-27T12:51:33Z
ScopeAI,ScopeAI,passthrough,76.9,2026-08-27T12:51:33Z
Jerry,Jerry,passthrough,54.5,2026-08-27T12:51:33Z
Passerine Aircraft,Passerine Aircraft,passthrough,53.3,2026-08-27T12:51:33Z
Skyways,Skyways,passthrough,50.0,2026-08-27T12:51:33Z
Nobell Foods,Nobell Foods,passthrough,37.5,2026-08-27T12:51:33Z
VergeSense,VergeSense,passthrough,50.0,2026-08-27T12:51:33Z
AutoHub,AutoHub,passthrough,44.4,2026-08-27T12:51:33Z
Releaf Earth,Releaf Earth,passthrough,52.6,2026-08-27T12:51:33Z
UpCodes,UpCodes,passthrough,57.1,2026-08-27T12:51:33Z
Standard AI,Standard AI,passthrough,66.7,2026-08-27T12:51:33Z
Nimble,Nimble,passthrough,72.7,2026-08-27T12:51:33Z
Darmiyan,Darmiyan,passthrough,58.8,2026-08-27T12:51:33Z
Flock Safety,Flock Safety,passthrough,41.7,2026-08-27T12:51:33Z
Mystro,Mystro,passthrough,61.5,2026-08-27T12:51:33Z
Semantix,Semantix,passthrough,53.3,2026-08-27T12:51:33Z
Plasticity,Plasticity,passthrough,63.6,2026-08-27T12:51:33Z
Slik,Slik,passthrough,54.5,2026-08-27T12:51:33Z
Cairns Health,Cairns Health,passthrough,52.2,2026-08-27T12:51:33Z
Pop Meals,Pop Meals,passthrough,50.0,2026-08-27T12:51:33Z
Spect,Spect,passthrough,54.5,2026-08-27T12:51:33Z
Pyka,Pyka,passthrough,60.0,2026-08-27T12:51:33Z
Surematics,Surematics,passthrough,52.6,2026-08-27T12:51:33Z
Goosebump,Goosebump,passthrough,50.0,2026-08-27T12:51:33Z
Flowspace,Flowspace,passthrough,42.9,2026-08-27T12:51:33Z
Modular Science,Modular Science,passthrough,48.0,2026-08-27T12:51:33Z
Skyscrape,Skyscrape,passthrough,58.8,2026-08-27T12:51:33Z
D-ID,D-ID,passthrough,50.0,2026-08-27T12:51:33Z
Percept.AI,Percept.AI,passthrough,69.6,2026-08-27T12:51:33Z
WATERFX,WATERFX,passthrough,53.3,2026-08-27T12:51:33Z
Sourceress,Sourceress,passthrough,66.7,2026-08-27T12:51:33Z
OneLocal,OneLocal,passthrough,50.0,2026-08-27T12:51:33Z
Opearlo,Opearlo,passthrough,61.5,2026-08-27T12:51:33Z
Headstart,Headstart,passthrough,47.6,2026-08-27T12:51:33Z
Guggy,Guggy,passthrough,37.5,2026-08-27T12:51:33Z
May Mobility,May Mobility,passthrough,66.7,2026-08-27T12:51:33Z
Commissary Club (formerly 70 Million Jobs),Commissary Club (formerly 70 Million Jobs),passthrough,32.8,2026-08-27T12:51:33Z
Cambridge Cancer Genomics,Cambridge Cancer Genomics,passthrough,46.5,2026-08-27T12:51:33Z
AssemblyAI,AssemblyAI,passthrough,57.1,2026-08-27T12:51:33Z
Lyrebird,Lyrebird,passthrough,50.0,2026-08-27T12:51:33Z
Just Appraised,Just Appraised,passthrough,44.4,2026-08-27T12:51:33Z
Social Construct,Social Construct,passthrough,43.5,2026-08-27T12:51:33Z
10 By 10,10 By 10,passthrough,42.9,2026-08-27T12:51:33Z
Bumpline,Bumpline,passthrough,53.3,2026-08-27T12:51:33Z
Thematic,Thematic,passthrough,52.6,2026-08-27T12:51:33Z
FollowUpThen,FollowUpThen,passthrough,44.4,2026-08-27T12:51:33Z
Proven Group,Proven Group,passthrough,44.4,2026-08-27T12:51:33Z
Precious,Precious,passthrough,52.6,2026-08-27T12:51:33Z
Spellbrush,Spellbrush,passthrough,50.0,2026-08-27T12:51:33Z
Jasper,Jasper,exact,100.0,2026-08-27T12:51:33Z
Observant AI,Observant AI,passthrough,66.7,2026-08-27T12:51:33Z
Fondo,Fondo,passthrough,54.5,2026-08-27T12:51:33Z
Slite,Slite,passthrough,60.0,2026-08-27T12:51:33Z
Mighty Buildings,Mighty Buildings,passthrough,50.0,2026-08-27T12:51:33Z
Sepsis Scout,Sepsis Scout,passthrough,47.6,2026-08-27T12:51:33Z
Macromoltek,Macromoltek,passthrough,50.0,2026-08-27T12:51:33Z
Promise,Promise,passthrough,46.2,2026-08-27T12:51:33Z
OurMenu,OurMenu,passthrough,47.1,2026-08-27T12:51:33Z
Persephone Biosciences,Persephone Biosciences,passthrough,42.1,2026-08-27T12:51:33Z
Reverie Labs,Reverie Labs,passthrough,69.6,2026-08-27T12:51:33Z
Nuvocargo,Nuvocargo,passthrough,47.1,2026-08-27T12:51:33Z
LUS Brands,LUS Brands,passthrough,53.8,2026-08-27T12:51:33Z
Meitre,Meitre,passthrough,61.5,2026-08-27T12:51:33Z
Sourcify,Sourcify,passthrough,52.6,2026-08-27T12:51:33Z
Viaopt,Viaopt,passthrough,57.1,2026-08-27T12:51:33Z
Meson,Meson,passthrough,46.2,2026-08-27T12:51:33Z
Evolve (makers of Podcast App & Rest),Evolve (makers of Podcast App & Rest),passthrough,39.2,2026-08-27T12:51:33Z
Edwin,Edwin,passthrough,46.2,2026-08-27T12:51:33Z
Acely,Acely,passthrough,54.5,2026-08-27T12:51:33Z
Cognition IP,Cognition IP,passthrough,50.0,2026-08-27T12:51:33Z
Hunter2,Hunter2,passthrough,46.2,2026-08-27T12:51:33Z
Vathys,Vathys,passthrough,42.9,2026-08-27T12:51:33Z
Naborly,Naborly,passthrough,50.0,2026-08-27T12:51:33Z
Weekend (fmr. Volley),Weekend (fmr. Volley),passthrough,40.0,2026-08-27T12:51:33Z
SharpestMinds,SharpestMinds,passthrough,47.6,2026-08-27T12:51:33Z
Tilt (f.k.a. Delphia),Tilt (f.k.a. Delphia),passthrough,44.4,2026-08-27T12:51:33Z
Orangewood Labs,Orangewood Labs,passthrough,61.5,2026-08-27T12:51:33Z
Memora Health,Memora Health,passthrough,50.0,2026-08-27T12:51:33Z
AlgoSurg Inc,AlgoSurg Inc,passthrough,47.1,2026-08-27T12:51:33Z
Voicery,Voicery,passthrough,50.0,2026-08-27T12:51:33Z
Swipehouse,Swipehouse,passthrough,44.4,2026-08-27T12:51:33Z
Point API,Point API,passthrough,66.7,2026-08-27T12:51:33Z
Jido Maps,Jido Maps,passthrough,50.0,2026-08-27T12:51:33Z
Observe.AI,Observe.AI,passthrough,63.2,2026-08-27T12:51:33Z
Helloverify,Helloverify,passthrough,47.6,2026-08-27T12:51:33Z
Aerones,Aerones,passthrough,53.3,2026-08-27T12:51:33Z
Veriff,Veriff,passthrough,42.9,2026-08-27T12:51:33Z
Swayable,Swayable,passthrough,62.5,2026-08-27T12:51:33Z
Curebase,Curebase,passthrough,75.0,2026-08-27T12:51:33Z
Phiar,Phiar,passthrough,54.5,2026-08-27T12:51:33Z
OWNY,OWNY,passthrough,44.4,2026-08-27T12:51:33Z
Within,Within,passthrough,50.0,2026-08-27T12:51:33Z
C16 Biosciences,C16 Biosciences,passthrough,38.7,2026-08-27T12:51:33Z
"numericcal, inc.","numericcal, inc.",passthrough,47.1,2026-08-27T12:51:33Z
Searchlight,Searchlight,passthrough,50.0,2026-08-27T12:51:33Z
FREY,FREY,passthrough,60.0,2026-08-27T12:51:33Z
OpenWrench,OpenWrench,passthrough,52.2,2026-08-27T12:51:33Z
Activeloop,Activeloop,passthrough,47.1,2026-08-27T12:51:33Z
Inokyo,Inokyo,passthrough,47.1,2026-08-27T12:51:33Z
Data Driven Bioscience,Data Driven Bioscience,passthrough,42.1,2026-08-27T12:51:33Z
Inscribe,Inscribe,passthrough,50.0,2026-08-27T12:51:33Z
JITX,JITX,passthrough,50.0,2026-08-27T12:51:33Z
Medinas Health,Medinas Health,passthrough,50.0,2026-08-27T12:51:33Z
"AskMyClass, now Soundkins","AskMyClass, now Soundkins",passthrough,45.0,2026-08-27T12:51:33Z
Spero Foods,Spero Foods,passthrough,50.0,2026-08-27T12:51:33Z
64x Bio,64x Bio,passthrough,40.0,2026-08-27T12:51:33Z
Anima App,Anima App,passthrough,55.6,2026-08-27T12:51:33Z
Tall Poppy,Tall Poppy,passthrough,50.0,2026-08-27T12:51:33Z
Ixora,Ixora,passthrough,50.0,2026-08-27T12:51:33Z
LabelFlow,LabelFlow,passthrough,44.4,2026-08-27T12:51:33Z
Corvus Robotics,Corvus Robotics,passthrough,44.4,2026-08-27T12:51:33Z
Duffel,Duffel,passthrough,42.9,2026-08-27T12:51:33Z
Impactive (formerly Outvote),Impactive (formerly Outvote),passthrough,46.5,2026-08-27T12:51:33Z
Regology,Regology,passthrough,46.2,2026-08-27T12:51:33Z
Quickchat AI,Quickchat AI,passthrough,66.7,2026-08-27T12:51:33Z
"DreamCraft Entertainment, Inc.","DreamCraft Entertainment, Inc.",passthrough,48.9,2026-08-27T12:51:33Z
Rain Neuromorphics,Rain Neuromorphics,passthrough,44.4,2026-08-27T12:51:33Z
BlueCargo,BlueCargo,passthrough,55.6,2026-08-27T12:51:33Z
Alpha Vantage,Alpha Vantage,passthrough,66.7,2026-08-27T12:51:33Z
FameGame,FameGame,passthrough,44.4,2026-08-27T12:51:33Z
The Supplant Company,The Supplant Company,passthrough,47.6,2026-08-27T12:51:33Z
Prodigal,Prodigal,passthrough,61.5,2026-08-27T12:51:33Z
Calii,Calii,passthrough,66.7,2026-08-27T12:51:33Z
TENDERD,TENDERD,passthrough,53.3,2026-08-27T12:51:33Z
Bot MD,Bot MD,passthrough,50.0,2026-08-27T12:51:33Z
Shelf Engine,Shelf Engine,passthrough,46.7,2026-08-27T12:51:33Z
Eden,Eden,passthrough,50.0,2026-08-27T12:51:33Z
SkydropX,SkydropX,passthrough,35.3,2026-08-27T12:51:33Z
BrainHi,BrainHi,passthrough,52.6,2026-08-27T12:51:33Z
Khatabook,Khatabook,passthrough,52.6,2026-08-27T12:51:33Z
Kobo360,Kobo360,passthrough,30.8,2026-08-27T12:51:33Z
Mutiny,Mutiny,passthrough,53.3,2026-08-27T12:51:33Z
Synkrino Biotherapeutics,Synkrino Biotherapeutics,passthrough,41.2,2026-08-27T12:51:33Z
dNovo,dNovo,passthrough,46.2,2026-08-27T12:51:33Z
Leena AI,Leena AI,passthrough,66.7,2026-08-27T12:51:33Z
JuziBot,JuziBot,passthrough,37.5,2026-08-27T12:51:33Z
SPATE,SPATE,passthrough,60.0,2026-08-27T12:51:33Z
Enveritas,Enveritas,passthrough,58.8,2026-08-27T12:51:33Z
LemonBox,LemonBox,passthrough,47.6,2026-08-27T12:51:33Z
iLabService,iLabService,passthrough,50.0,2026-08-27T12:51:33Z
Aesthetic,Aesthetic,passthrough,55.6,2026-08-27T12:51:33Z
Kunduz,Kunduz,passthrough,42.9,2026-08-27T12:51:33Z
Overview,Overview,passthrough,57.1,2026-08-27T12:51:33Z
Taobotics,Taobotics,passthrough,63.2,2026-08-27T12:51:33Z
Flockjay,Flockjay,passthrough,38.1,2026-08-27T12:51:33Z
Positive,Positive,passthrough,47.1,2026-08-27T12:51:33Z
AllSome Fulfillment,AllSome Fulfillment,passthrough,50.0,2026-08-27T12:51:33Z
Pachama,Pachama,passthrough,61.5,2026-08-27T12:51:33Z
Keeper,Keeper,passthrough,50.0,2026-08-27T12:51:33Z
Centaur,Centaur,passthrough,46.2,2026-08-27T12:51:33Z
SpaceRyde,SpaceRyde,passthrough,55.6,2026-08-27T12:51:33Z
Sunsama,Sunsama,passthrough,54.5,2026-08-27T12:51:33Z
Sorting Robotics,Sorting Robotics,passthrough,50.0,2026-08-27T12:51:33Z
Windsor,Windsor,passthrough,80.0,2026-08-27T12:51:33Z
Hatch,Hatch,passthrough,50.0,2026-08-27T12:51:33Z
BrainKey,BrainKey,passthrough,53.3,2026-08-27T12:51:33Z
GoLinks,GoLinks,passthrough,50.0,2026-08-27T12:51:33Z
Tailornova/Couturme,Tailornova/Couturme,passthrough,50.0,2026-08-27T12:51:33Z
Adventurous Co,Adventurous Co,passthrough,52.2,2026-08-27T12:51:33Z
Community Phone Company,Community Phone Company,passthrough,50.0,2026-08-27T12:51:33Z
Basilica,Basilica,passthrough,53.3,2026-08-27T12:51:33Z
WeatherCheck,WeatherCheck,passthrough,50.0,2026-08-27T12:51:33Z
Sapling.ai,Sapling.ai,passthrough,63.6,2026-08-27T12:51:33Z
Nabis,Nabis,passthrough,60.0,2026-08-27T12:51:33Z
Forage,Forage,passthrough,50.0,2026-08-27T12:51:33Z
Demodesk,Demodesk,passthrough,50.0,2026-08-27T12:51:33Z
AI Insurance,AI Insurance,passthrough,66.7,2026-08-27T12:51:33Z
Switchboard,Switchboard,passthrough,52.6,2026-08-27T12:51:33Z
ResistanceBio,ResistanceBio,passthrough,50.0,2026-08-27T12:51:33Z
Evo.Do,Evo.Do,passthrough,50.0,2026-08-27T12:51:33Z
Docucharm,Docucharm,passthrough,53.3,2026-08-27T12:51:33Z
Askdata,Askdata,passthrough,53.3,2026-08-27T12:51:33Z
Probably Genetic,Probably Genetic,passthrough,43.2,2026-08-27T12:51:33Z
Superorder,Superorder,passthrough,52.6,2026-08-27T12:51:33Z
Maitian.ai,Maitian.ai,passthrough,70.0,2026-08-27T12:51:33Z
Bunkerhill Health,Bunkerhill Health,passthrough,47.4,2026-08-27T12:51:33Z
Landed,Landed,passthrough,62.5,2026-08-27T12:51:33Z
Autodial prev Qwest,Autodial prev Qwest,passthrough,48.6,2026-08-27T12:51:33Z
Axel Travel,Axel Travel,passthrough,57.1,2026-08-27T12:51:33Z
DailyDoctor,DailyDoctor,passthrough,50.0,2026-08-27T12:51:33Z
Aura Vision,Aura Vision,passthrough,51.9,2026-08-27T12:51:33Z
JetPack Aviation,JetPack Aviation,passthrough,50.0,2026-08-27T12:51:33Z
Reelables,Reelables,passthrough,63.2,2026-08-27T12:51:33Z
Heart Aerospace,Heart Aerospace,passthrough,50.0,2026-08-27T12:51:33Z
Hypnos,Hypnos,passthrough,42.9,2026-08-27T12:51:33Z
Superb AI,Superb AI,passthrough,77.8,2026-08-27T12:51:33Z
Traverse Technologies,Traverse Technologies,passthrough,82.8,2026-08-27T12:51:33Z
Our World in Data,Our World in Data,passthrough,53.8,2026-08-27T12:51:33Z
Nowports,Nowports,passthrough,42.9,2026-08-27T12:51:33Z
Beacons,Beacons,passthrough,53.3,2026-08-27T12:51:33Z
Glide,Glide,passthrough,60.0,2026-08-27T12:51:33Z
AXDRAFT,AXDRAFT,passthrough,61.5,2026-08-27T12:51:33Z
Frubana Inc,Frubana Inc,passthrough,61.5,2026-08-27T12:51:33Z
Sublime Black,Sublime Black,passthrough,48.0,2026-08-27T12:51:33Z
Mars Auto,Mars Auto,passthrough,52.6,2026-08-27T12:51:33Z
Allure Systems,Allure Systems,passthrough,66.7,2026-08-27T12:51:33Z
WorkClout,WorkClout,passthrough,42.1,2026-08-27T12:51:33Z
Latchel,Latchel,passthrough,50.0,2026-08-27T12:51:33Z
Tailor-ED,Tailor-ED,passthrough,47.6,2026-08-27T12:51:33Z
Cosmic,Cosmic,passthrough,50.0,2026-08-27T12:51:33Z
"OutRival, Inc.","OutRival, Inc.",passthrough,53.3,2026-08-27T12:51:33Z
1910,1910,passthrough,25.0,2026-08-27T12:51:33Z
Numero,Numero,passthrough,50.0,2026-08-27T12:51:33Z
rct AI,rct AI,passthrough,66.7,2026-08-27T12:51:33Z
Eclipse Foods,Eclipse Foods,passthrough,43.5,2026-08-27T12:51:33Z
Shipper,Shipper,passthrough,61.5,2026-08-27T12:51:33Z
Spiral Genetics,Spiral Genetics,passthrough,48.0,2026-08-27T12:51:33Z
Playground,Playground,passthrough,42.9,2026-08-27T12:51:33Z
MoFE,MoFE,passthrough,44.4,2026-08-27T12:51:33Z
matagora,matagora,passthrough,53.3,2026-08-27T12:51:33Z
Cuboh,Cuboh,passthrough,54.5,2026-08-27T12:51:33Z
Shiru,Shiru,passthrough,44.4,2026-08-27T12:51:33Z
Figments,Figments,passthrough,57.1,2026-08-27T12:51:33Z
Palifer,Palifer,passthrough,50.0,2026-08-27T12:51:33Z
Symplex,Symplex,passthrough,50.0,2026-08-27T12:51:33Z
Kraftful,Kraftful,passthrough,42.9,2026-08-27T12:51:33Z
Well Principled,Well Principled,passthrough,46.2,2026-08-27T12:51:33Z
Mighty Health,Mighty Health,passthrough,45.5,2026-08-27T12:51:33Z
Prompt,Prompt,passthrough,50.0,2026-08-27T12:51:33Z
Short Story,Short Story,passthrough,47.1,2026-08-27T12:51:33Z
Voyage Biomedical,Voyage Biomedical,passthrough,41.2,2026-08-27T12:51:33Z
TRM Labs,TRM Labs,passthrough,70.6,2026-08-27T12:51:33Z
Soteris,Soteris,passthrough,55.6,2026-08-27T12:51:33Z
Lantern,Lantern,passthrough,50.0,2026-08-27T12:51:33Z
AudioFocus,AudioFocus,passthrough,52.6,2026-08-27T12:51:33Z
Prolific,Prolific,passthrough,47.6,2026-08-27T12:51:33Z
Dashblock,Dashblock,passthrough,52.6,2026-08-27T12:51:33Z
GEn1E Lifesciences,GEn1E Lifesciences,passthrough,51.3,2026-08-27T12:51:33Z
Embrace,Embrace,passthrough,53.3,2026-08-27T12:51:33Z
Mindset Health,Mindset Health,passthrough,52.2,2026-08-27T12:51:33Z
Yummy Future,Yummy Future,passthrough,44.4,2026-08-27T12:51:33Z
UpEquity,UpEquity,passthrough,55.6,2026-08-27T12:51:33Z
Nonu,Nonu,passthrough,50.0,2026-08-27T12:51:33Z
ZETA SURGICAL,ZETA SURGICAL,passthrough,60.0,2026-08-27T12:51:33Z
Milo,Milo,passthrough,54.5,2026-08-27T12:51:33Z
Green Canopy NODE,Green Canopy NODE,passthrough,42.4,2026-08-27T12:51:33Z
Downtobid,Downtobid,passthrough,44.4,2026-08-27T12:51:33Z
Rainbow,Rainbow,passthrough,57.1,2026-08-27T12:51:33Z
Rosebud AI,Rosebud AI,passthrough,66.7,2026-08-27T12:51:33Z
Arpeggio Bio,Arpeggio Bio,passthrough,43.5,2026-08-27T12:51:33Z
PlayAbly,PlayAbly,passthrough,50.0,2026-08-27T12:51:33Z
Microverse,Microverse,passthrough,63.2,2026-08-27T12:51:33Z
EARTH AI,EARTH AI,passthrough,66.7,2026-08-27T12:51:33Z
CoLab,CoLab,passthrough,61.5,2026-08-27T12:51:33Z
Binks,Binks,passthrough,53.3,2026-08-27T12:51:33Z
Chaos Genius,Chaos Genius,passthrough,52.6,2026-08-27T12:51:33Z
MyPetrolPump,MyPetrolPump,passthrough,42.1,2026-08-27T12:51:33Z
Tensil,Tensil,passthrough,53.3,2026-08-27T12:51:33Z
Vahan,Vahan,passthrough,57.1,2026-08-27T12:51:33Z
Namaste Business,Namaste Business,passthrough,51.9,2026-08-27T12:51:33Z
Finlens,Finlens,passthrough,58.8,2026-08-27T12:51:33Z
Ramen VR,Ramen VR,passthrough,47.1,2026-08-27T12:51:33Z
Hightouch,Hightouch,passthrough,40.0,2026-08-27T12:51:33Z
Eden Farm,Eden Farm,passthrough,50.0,2026-08-27T12:51:33Z
PredictLeads,PredictLeads,passthrough,57.1,2026-08-27T12:51:33Z
Trella,Trella,passthrough,60.0,2026-08-27T12:51:33Z
Recidiviz,Recidiviz,passthrough,40.0,2026-08-27T12:51:33Z
Alana,Alana,passthrough,60.0,2026-08-27T12:51:33Z
Traces,Traces,passthrough,50.0,2026-08-27T12:51:33Z
Mipos.dev,Mipos.dev,passthrough,42.9,2026-08-27T12:51:33Z
Flowbot,Flowbot,passthrough,46.2,2026-08-27T12:51:33Z
treble.ai,treble.ai,passthrough,63.2,2026-08-27T12:51:33Z
Deepnote,Deepnote,passthrough,62.5,2026-08-27T12:51:33Z
Meridian Industries,Meridian Industries,passthrough,46.7,2026-08-27T12:51:33Z
Taskade,Taskade,passthrough,53.3,2026-08-27T12:51:33Z
Motion,Motion,passthrough,50.0,2026-08-27T12:51:33Z
Vendr,Vendr,passthrough,46.2,2026-08-27T12:51:33Z
Karat Financial,Karat Financial,passthrough,51.9,2026-08-27T12:51:33Z
Flowglad,Flowglad,passthrough,46.2,2026-08-27T12:51:33Z
Phonic,Phonic,passthrough,53.3,2026-08-27T12:51:33Z
Abalone Bio,Abalone Bio,passthrough,50.0,2026-08-27T12:51:33Z
StratumAI,StratumAI,passthrough,66.7,2026-08-27T12:51:33Z
RoboTire,RoboTire,passthrough,42.9,2026-08-27T12:51:33Z
MindsDB,MindsDB,passthrough,53.3,2026-08-27T12:51:33Z
FitnessAI,FitnessAI,passthrough,55.6,2026-08-27T12:51:33Z
Segmed,Segmed,passthrough,42.9,2026-08-27T12:51:33Z
Letterdrop,Letterdrop,passthrough,44.4,2026-08-27T12:51:33Z
Factored Quality,Factored Quality,passthrough,50.0,2026-08-27T12:51:33Z
Taiv,Taiv,passthrough,57.1,2026-08-27T12:51:33Z
Orbiter,Orbiter,passthrough,53.3,2026-08-27T12:51:33Z
Glisten AI,Glisten AI,passthrough,66.7,2026-08-27T12:51:33Z
Ardis AI,Ardis AI,passthrough,66.7,2026-08-27T12:51:33Z
Perceptive Technologies,Perceptive Technologies,passthrough,82.8,2026-08-27T12:51:33Z
Handoff,Handoff,passthrough,50.0,2026-08-27T12:51:33Z
